alpha,condition,contract_sha256,dependency,eval_budget,execution,input_fingerprint,instance,seed,spec_id,task_id
1.0,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__geographic__seed2__alpha_000,4000,run_or_conditional_reuse,6828bfd29fcf1327aa00b24a242c7dc3b93c7abfd3daaa019e6a8bc1c8e25892,L-main-threeshift-15c-01,2,L-main-threeshift-15c-01__geographic__seed2,L-main-threeshift-15c-01__geographic__seed2__alpha_100
0.0,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,ce13487bed7de0c57c8982bb5945d29c12a39bfa9c7f4fe758975715f38eddfe,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01__geographic__seed3__alpha_000
0.25,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,ce13487bed7de0c57c8982bb5945d29c12a39bfa9c7f4fe758975715f38eddfe,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01__geographic__seed3__alpha_025
0.5,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,ce13487bed7de0c57c8982bb5945d29c12a39bfa9c7f4fe758975715f38eddfe,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01__geographic__seed3__alpha_050
0.75,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,ce13487bed7de0c57c8982bb5945d29c12a39bfa9c7f4fe758975715f38eddfe,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01__geographic__seed3__alpha_075
1.0,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,ce13487bed7de0c57c8982bb5945d29c12a39bfa9c7f4fe758975715f38eddfe,L-main-threeshift-15c-01,3,L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01__geographic__seed3__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,8303fa5a5013acae7ceda0597f6b3391011087577140bd8a81e2c2a006a777f4,L-main-threeshift-15c-01,1,L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01__mixed__seed1__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,8303fa5a5013acae7ceda0597f6b3391011087577140bd8a81e2c2a006a777f4,L-main-threeshift-15c-01,1,L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01__mixed__seed1__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,8303fa5a5013acae7ceda0597f6b3391011087577140bd8a81e2c2a006a777f4,L-main-threeshift-15c-01,1,L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01__mixed__seed1__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-15c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,8303fa5a5013acae7ceda0597f6b3391011087577140bd8a81e2c2a006a777f4,L-main-threeshift-15c-01,1,L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01__mixed__seed1__alpha_075
