battery_kwh,diagnostic_only,evidence_tiers,main_candidate_eligible,promotion_allowed_without_extra_source,reference_only,reference_only_09q,screen_scan,secondary_only,selected_for_09q,source_count,source_ids,source_types
60.0,False,literature_benchmark;strong_current_vehicle_class,True,True,False,False,True,False,True,2,IsuzuNRREV;Qiu2024,local_pdf;official_web
80.0,False,literature_benchmark,False,False,True,True,False,False,False,2,Chen2023;Goeke2015,local_pdf
81.0,False,conditional_van,True,True,False,False,True,False,True,1,MercedesESprinter,official_web
82.6,False,strong_current_vehicle_class,True,False,False,False,True,True,True,1,FusoECanter,secondary_web
89.0,False,conditional_van,True,True,False,False,True,False,True,1,FordETransit2025,official_pdf
100.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,IsuzuNRREV,official_web
113.0,False,conditional_van,True,True,False,False,True,False,True,1,MercedesESprinter,official_web
123.9,False,strong_current_vehicle_class,True,False,False,False,True,True,True,1,FusoECanter,secondary_web
140.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,IsuzuNRREV,official_web
141.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,DAFXBElectric,official_web
150.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,MackMDElectric,official_web
176.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,RenaultTrucksETechD,official_web
180.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,IsuzuNRREV,official_web
194.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,FreightlinerEM2,official_web
200.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,RenaultTrucksETechD,official_web
210.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,2,DAFXBElectric;InternationalEMV,official_web
240.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,MackMDElectric,official_web
280.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,VolvoFLFE2023,official_web
282.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,DAFXBElectric,official_web
291.0,False,strong_current_vehicle_class,True,True,False,False,True,False,True,1,FreightlinerEM2,official_web
