all_cv_winner_share,all_ev_winner_share,best_gap_pct_alns_minus_lns,category,mean_gap_pct_alns_minus_lns,mean_winner_charging_action_count,mean_winner_ev_route_share,paired_winner_counts,pairs,scenario,size
0.0,0.0,-18.53291399789436,multidepot,-18.53291399789436,1.0,0.5,"{""alns"": 1}",1,wc80,10
1.0,0.0,0.0,multidepot,0.0,0.0,0.0,"{""tie"": 1}",1,wc80,15
0.0,0.0,0.0,multidepot,0.0,1.0,0.2,"{""tie"": 1}",1,wc80,20
0.0,0.0,0.0,multidepot,0.0,1.0,0.2,"{""tie"": 1}",1,wc80,25
0.0,0.0,0.0,multidepot,0.0,1.0,0.1111111111111111,"{""tie"": 1}",1,wc80,50
0.0,0.0,0.0,multidepot,0.0,1.0,0.07692307692307693,"{""tie"": 1}",1,wc80,75
0.0,0.0,0.0,multidepot,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc80,100
0.0,0.0,0.0,multidepot,0.0,1.0,0.045454545454545456,"{""tie"": 1}",1,wc80,150
0.0,0.0,0.0,multidepot,0.0,1.0,0.034482758620689655,"{""tie"": 1}",1,wc80,200
0.0,0.0,0.0,threeshift,0.0,1.0,0.125,"{""tie"": 1}",1,wc80,50
0.0,0.0,0.0,threeshift,0.0,1.0,0.08333333333333333,"{""tie"": 1}",1,wc80,75
0.0,0.0,0.0,threeshift,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc80,100
0.0,0.0,0.0,threeshift,0.0,1.0,0.045454545454545456,"{""tie"": 1}",1,wc80,150
0.0,0.0,0.0,threeshift,0.0,1.0,0.037037037037037035,"{""tie"": 1}",1,wc80,200
0.0,0.0,-28.78478518398367,vanilla,-28.78478518398367,2.0,0.5,"{""alns"": 1}",1,wc80,10
1.0,0.0,0.34273606085920655,vanilla,0.34273606085920655,0.0,0.0,"{""lns"": 1}",1,wc80,15
0.0,0.0,0.0,vanilla,0.0,1.0,0.25,"{""tie"": 1}",1,wc80,20
0.0,0.0,0.0,vanilla,0.0,1.0,0.25,"{""tie"": 1}",1,wc80,25
0.0,0.0,0.0,vanilla,0.0,1.0,0.125,"{""tie"": 1}",1,wc80,50
0.0,0.0,0.0,vanilla,0.0,1.0,0.08333333333333333,"{""tie"": 1}",1,wc80,75
0.0,0.0,0.0,vanilla,0.0,1.0,0.06666666666666667,"{""tie"": 1}",1,wc80,100
0.0,0.0,0.0,vanilla,0.0,1.0,0.047619047619047616,"{""tie"": 1}",1,wc80,150
0.0,0.0,0.0,vanilla,0.0,1.0,0.034482758620689655,"{""tie"": 1}",1,wc80,200
