arm,timing_rule,charge_scope,charge_day_offset,slot_index,slot_start_hour,carbon_intensity_g_per_kwh,charging_kwh
reassignment_allowed,immediate,same_day_between_trip,0,29,14.5,172.44444444444446,11.000000000000002
reassignment_allowed,immediate,same_day_between_trip,0,30,15.0,184.16666666666666,11.000000000000002
reassignment_allowed,immediate,same_day_between_trip,0,31,15.5,188.61111111111111,11.000000000000002
reassignment_allowed,immediate,same_day_between_trip,0,32,16.0,187.94444444444446,11.000000000000002
reassignment_allowed,immediate,same_day_between_trip,0,33,16.5,188.94444444444446,7.537119344077566
reassignment_allowed,low_carbon,pre_day_first_trip,-1,0,0.0,59.0,27.81191222593681
reassignment_allowed,low_carbon,pre_day_first_trip,-1,1,0.5,58.333333333333336,48.6352748387126
reassignment_allowed,low_carbon,pre_day_first_trip,-1,2,1.0,56.611111111111114,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,3,1.5,54.55555555555556,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,4,2.0,52.44444444444444,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,5,2.5,49.611111111111114,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,6,3.0,49.05555555555556,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,7,3.5,47.5,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,8,4.0,51.5,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,9,4.5,53.5,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,10,5.0,55.111111111111114,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,11,5.5,57.388888888888886,55.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,12,6.0,64.05555555555556,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,13,6.5,67.38888888888889,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,14,7.0,74.11111111111111,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,15,7.5,80.61111111111111,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,16,8.0,79.27777777777777,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,17,8.5,76.94444444444444,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,18,9.0,76.77777777777777,22.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,19,9.5,75.88888888888889,15.67683294413718
reassignment_allowed,low_carbon,pre_day_first_trip,-1,20,10.0,77.55555555555556,11.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,21,10.5,80.83333333333333,11.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,22,11.0,85.55555555555556,11.0
reassignment_allowed,low_carbon,pre_day_first_trip,-1,23,11.5,90.33333333333333,5.209586170022481
reassignment_allowed,low_carbon,same_day_between_trip,0,3,1.5,54.55555555555556,1.4546473553843893
reassignment_allowed,low_carbon,same_day_between_trip,0,4,2.0,52.44444444444444,11.34276816454863
reassignment_allowed,low_carbon,same_day_between_trip,0,5,2.5,49.611111111111114,22.0
reassignment_allowed,low_carbon,same_day_between_trip,0,6,3.0,49.05555555555556,22.0
reassignment_allowed,low_carbon,same_day_between_trip,0,7,3.5,47.5,22.0
reassignment_allowed,low_carbon,same_day_between_trip,0,8,4.0,51.5,22.028653903000084
reassignment_allowed,low_carbon,same_day_between_trip,0,9,4.5,53.5,12.720649627689527
reassignment_allowed,low_carbon,same_day_between_trip,0,10,5.0,55.111111111111114,11.0
reassignment_allowed,low_carbon,same_day_between_trip,0,11,5.5,57.388888888888886,3.7088957939286247
reassignment_allowed,low_carbon,same_day_between_trip,0,25,12.5,111.44444444444444,7.155095152989315
reassignment_allowed,low_carbon,same_day_between_trip,0,26,13.0,124.27777777777777,18.916662576110646
reassignment_allowed,low_carbon,same_day_between_trip,0,27,13.5,140.05555555555554,22.964382711656572
reassignment_allowed,low_carbon,same_day_between_trip,0,28,14.0,157.33333333333334,12.355015916566819
reassignment_allowed,low_carbon,same_day_between_trip,0,29,14.5,172.44444444444446,11.000000000000002
reassignment_allowed,low_carbon,same_day_between_trip,0,30,15.0,184.16666666666666,11.000000000000002
reassignment_allowed,low_carbon,same_day_between_trip,0,31,15.5,188.61111111111111,11.000000000000002
reassignment_allowed,low_carbon,same_day_between_trip,0,32,16.0,187.94444444444446,11.000000000000002
reassignment_allowed,low_carbon,same_day_between_trip,0,33,16.5,188.94444444444446,7.537119344077566
