task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.012846749974415,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.011838832986541,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.014278582995757,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080204,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.014294291031547,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080205,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.016170875052921,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080206,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.036500666989014,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080207,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.033293582964689,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080208,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.019425999955274,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080209,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.023767957929522,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__ASAP__S2026080210,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.019195750006475,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
