instance_id,seed,capacity_kwh,public_charge_power_kw,approximation,curve_id,departure_energy_kwh_configured,public_station_energy_cap_kwh,public_station_cap_compliant,public_station_cap_violation_count,optimization_status,error_type,error_message,optimization_legal,optimization_violation_count,optimization_violation_types,total_cost_cny,route_count,ev_route_count,depot_charging_session_count,public_charging_session_count,public_charging_minutes_total,max_public_charge_end_soc_pct,complete_candidate_evaluations,elapsed_seconds,route_hash,action_hash,fixed_pl_execution_legal,fixed_pl_violation_count,fixed_pl_violation_types,fixed_pl_battery_violation_count,fixed_pl_time_window_violation_count,fixed_pl_station_capacity_conflict_count,fixed_pl_total_cost_cny,fixed_pl_charging_minutes_total,fixed_pl_duration_change_minutes,fixed_pl_route_hash_unchanged,fixed_pl_action_hash_unchanged,fixed_pl_only_duration_and_curve_changed,own_cost_minus_pl_cny,own_cost_minus_pl_pct,fixed_pl_cost_minus_pl_cny,fixed_pl_cost_minus_pl_pct,route_differs_from_pl,route_count_minus_pl
cn-prd-100c-02-V2-LOCATIONS,1,16.0,22.0,FS,M17_FS_FIRST_SEGMENT_TO_85PCT,16.0,13.6,True,0,SUCCESS,,,True,0,,4843.8615182040185,18,5,0,3,65.85204986478142,84.6217791358539,14,17.09957899991423,17fe414474197be04c5afb5e7ffbd2520d4a16dcf15100e0b0d57d6a53dcf62e,2336b117e0671cbfdb8753e1992cf0e9e626a84e756d31fa24adf317ae73d26f,True,0,,0,0,0,4843.8615182040185,65.85204986478142,0.0,True,True,True,-11.951663881512104,-0.2461310481549244,-11.951663881512104,-0.2461310481549244,True,0
cn-prd-100c-02-V2-LOCATIONS,1,16.0,22.0,L1,M17_L1_FIRST_SEGMENT_LINEAR,16.0,16.0,True,0,SUCCESS,,,True,0,,4854.117407084156,18,5,0,3,72.17249354134351,92.33541349194947,14,3.612584166927263,56672eee8bc817ca667e3dfd1df169c3bbaa1d28055bfe3face06cbe8470af59,610a4c912e270006a4e2358cdfbaee1c2f26296622ebfcbcfa4a14bb4e1435e7,True,0,,0,0,0,4855.813182085531,75.56404354409192,3.391550002748403,True,True,True,-1.6957750013743862,-0.03492257502060788,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,16.0,22.0,L2,M17_L2_ENDPOINT_LINEAR,16.0,16.0,True,0,SUCCESS,,,True,0,,4867.99460770438,18,5,0,3,99.9356221052313,92.33541349194947,14,3.5995441250270233,56672eee8bc817ca667e3dfd1df169c3bbaa1d28055bfe3face06cbe8470af59,c4978631489d96a8a2545d29a86e7f58039bcfc34e141d0c73c14cf23dd38bdb,True,0,,0,0,0,4855.813182085531,75.56404354409192,-24.371578561139387,True,True,True,12.181425618849062,0.2508627321946773,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,16.0,22.0,PL,M17_22KW_NORMAL_PWL,16.0,16.0,True,0,SUCCESS,,,True,0,,4855.813182085531,18,5,0,3,75.56404354409192,92.33541349194947,14,3.7204518750077114,56672eee8bc817ca667e3dfd1df169c3bbaa1d28055bfe3face06cbe8470af59,e84d1c42fdf62bb7e8479b26eb442fe7e6045af654a3abfea608e48fcc73c53f,True,0,,0,0,0,4855.813182085531,75.56404354409192,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,20.0,22.0,FS,M17_FS_FIRST_SEGMENT_TO_85PCT,20.0,17.0,True,0,SUCCESS,,,True,0,,4776.661612948419,18,5,0,2,53.3299044364355,83.03645976235474,14,9.50120895798318,2d7ac15a830dea0f4743d4af5f516d25d865536caed3014f3de78eb6caedfaf7,5404c74410788074fb7e9a3e7bb4a3bb133e85c662c9e2489ecd0722a140e59e,True,0,,0,0,0,4776.661612948419,53.3299044364355,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,20.0,22.0,L1,M17_L1_FIRST_SEGMENT_LINEAR,20.0,20.0,True,0,SUCCESS,,,True,0,,4776.661612948419,18,5,0,2,53.3299044364355,83.03645976235474,14,3.264198833028786,2d7ac15a830dea0f4743d4af5f516d25d865536caed3014f3de78eb6caedfaf7,2998693e662d9c85ba1c59fe320c806ee1f2b7f4290e7aec0be8e67b00f0b096,True,0,,0,0,0,4776.661612948419,53.3299044364355,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,20.0,22.0,L2,M17_L2_ENDPOINT_LINEAR,20.0,20.0,True,0,SUCCESS,,,True,0,,4788.163576639198,18,5,0,2,72.5837841270014,82.3848332701796,14,3.3369002499384806,09b0cbba4b7ab03543e6200fefc38f4fdee6e57f777380956f9c6101048bbfa4,75cabafe74e2374ed8e74a0baca2238c6a890d514e000c71ccb26583b7018873,True,0,,0,0,0,4778.085366392619,52.41927333574941,-20.164510791251985,True,True,True,11.501963690779121,0.240795028469255,1.4237534441999742,0.02980645395396043,True,0
cn-prd-100c-02-V2-LOCATIONS,1,20.0,22.0,PL,M17_22KW_NORMAL_PWL,20.0,20.0,True,0,SUCCESS,,,True,0,,4776.661612948419,18,5,0,2,53.3299044364355,83.03645976235474,14,3.4060130839934573,2d7ac15a830dea0f4743d4af5f516d25d865536caed3014f3de78eb6caedfaf7,36e5f011f574ba50edc5dac22d009e0db5c0b2b8e3cdf8608aab8b7c9e03bc5a,True,0,,0,0,0,4776.661612948419,53.3299044364355,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,24.0,22.0,FS,M17_FS_FIRST_SEGMENT_TO_85PCT,24.0,20.4,True,0,SUCCESS,,,True,0,,4750.158171146522,18,5,0,1,16.835576945383643,68.65402772514966,14,6.5476894999155775,a188b2835f70a3fc9fcba1d4d34aebc08b24742a3e5df4e9ece84fe8a13b84cd,a0df1ccdea92d2572a371ca5f747f24bbc3eab99a47c6e0731b3f0368d44a6e1,True,0,,0,0,0,4750.158171146522,16.835576945383643,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
cn-prd-100c-02-V2-LOCATIONS,1,24.0,22.0,L1,M17_L1_FIRST_SEGMENT_LINEAR,24.0,24.0,True,0,SUCCESS,,,True,0,,4750.158171146522,18,5,0,1,16.835576945383643,68.65402772514966,14,3.29148666607216,a188b2835f70a3fc9fcba1d4d34aebc08b24742a3e5df4e9ece84fe8a13b84cd,355ad806c8f62a8acec42da8040495d31970d85b13ec5d192b6e8f43fb1b5bee,True,0,,0,0,0,4750.158171146522,16.835576945383643,0.0,True,True,True,0.0,0.0,0.0,0.0,False,0
