instance,size,seed,algorithm,battery_kwh,runtime_cap_seconds,eval_budget,seed_mode,checkpoint_path
e2-threeshift-150c-01,150,1,LNS,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__LNS__seed1.json
e2-threeshift-150c-01,150,1,GA,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__GA__seed1.json
e2-threeshift-150c-01,150,1,PSO,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__PSO__seed1.json
e2-threeshift-150c-01,150,1,VNS,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__VNS__seed1.json
e2-threeshift-150c-01,150,2,LNS,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__LNS__seed2.json
e2-threeshift-150c-01,150,2,GA,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__GA__seed2.json
e2-threeshift-150c-01,150,2,PSO,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__PSO__seed2.json
e2-threeshift-150c-01,150,2,VNS,280.0,120.0,600,neutral,baselines/e2_alns/ev_heavy_findability_gate_baseline_liveness_smoke_v2_data/checkpoints/neutral/e2-threeshift-150c-01__VNS__seed2.json
