E_cv_direct,E_ev_indirect,E_total,algorithm,battery_kwh,category,checkpoint_path,composition,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charging_kwh,error,ev_drive_kwh,ev_route_count,fuel_liters,instance,phase,role,route_count,seed,station_charging_kwh,status,total_cost,violation_count
1820.1781064196093,0.0,1820.1781064196093,LNS,180.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,194.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,200.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,210.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,240.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,280.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,282.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,291.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.038665158678,0.0,1820.038665158678,LNS,60.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed3.json,all_cv,91.62074640408785,0.0,2560.0,1014.5779988637483,1314.5936721166238,0.0,0.0,32,0.0,,0.0,0,707.9603648480555,e2-multidepot-100c-01,fixed_replay,allcv,32,3,0.0,OK,4980.79241738446,0
1820.038665158678,0.0,1820.038665158678,LNS,80.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed3.json,all_cv,91.62074640408785,0.0,2560.0,1014.5779988637483,1314.5936721166238,0.0,0.0,32,0.0,,0.0,0,707.9603648480555,e2-multidepot-100c-01,fixed_replay,allcv,32,3,0.0,OK,4980.79241738446,0
1820.038665158678,0.0,1820.038665158678,LNS,81.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed3.json,all_cv,91.62074640408785,0.0,2560.0,1014.5779988637483,1314.5936721166238,0.0,0.0,32,0.0,,0.0,0,707.9603648480555,e2-multidepot-100c-01,fixed_replay,allcv,32,3,0.0,OK,4980.79241738446,0
1820.038665158678,0.0,1820.038665158678,LNS,82.6,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed3.json,all_cv,91.62074640408785,0.0,2560.0,1014.5779988637483,1314.5936721166238,0.0,0.0,32,0.0,,0.0,0,707.9603648480555,e2-multidepot-100c-01,fixed_replay,allcv,32,3,0.0,OK,4980.79241738446,0
