battery_kwh,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
280.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
280.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
280.0,threeshift,balanced_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2242.517453956919,free_mixed
280.0,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
280.0,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
280.0,threeshift,ev_heavy_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,4922.497317744614,free_mixed
280.0,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
280.0,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
280.0,threeshift,ev_heavy_mixed,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9244.826659298798,free_mixed
280.0,threeshift,all_cv,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9436.717673224872,cv_shell
280.0,threeshift,infeasible,500,e2-threeshift-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
282.0,vanilla,balanced_mixed,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1102.962645625529,free_mixed
282.0,vanilla,all_cv,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1237.6525942518206,cv_shell
282.0,vanilla,infeasible,500,e2-vanilla-25c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
282.0,vanilla,balanced_mixed,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,5539.794973029572,free_mixed
282.0,vanilla,all_cv,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,6119.29666327237,cv_shell
282.0,vanilla,infeasible,500,e2-vanilla-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
282.0,vanilla,ev_heavy_mixed,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,10323.47204162857,free_mixed
282.0,vanilla,all_cv,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,11205.548171919037,cv_shell
282.0,vanilla,infeasible,500,e2-vanilla-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
282.0,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5037.998116454932,free_mixed
282.0,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
282.0,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
282.0,multidepot,ev_heavy_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9817.002350620356,free_mixed
282.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
282.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
282.0,threeshift,balanced_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2242.517453956919,free_mixed
282.0,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
282.0,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
282.0,threeshift,ev_heavy_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,4922.497317744614,free_mixed
282.0,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
282.0,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
282.0,threeshift,ev_heavy_mixed,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9244.826659298798,free_mixed
282.0,threeshift,all_cv,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9436.717673224872,cv_shell
282.0,threeshift,infeasible,500,e2-threeshift-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
291.0,vanilla,balanced_mixed,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1102.962645625529,free_mixed
291.0,vanilla,all_cv,500,e2-vanilla-25c-01,screen,terminal,OK,90.0,1,1237.6525942518206,cv_shell
291.0,vanilla,infeasible,500,e2-vanilla-25c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
291.0,vanilla,balanced_mixed,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,5539.794973029572,free_mixed
291.0,vanilla,all_cv,500,e2-vanilla-100c-01,screen,terminal,OK,180.0,1,6119.29666327237,cv_shell
291.0,vanilla,infeasible,500,e2-vanilla-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
291.0,vanilla,ev_heavy_mixed,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,10323.47204162857,free_mixed
291.0,vanilla,all_cv,500,e2-vanilla-200c-01,screen,terminal,OK,300.0,1,11205.548171919037,cv_shell
291.0,vanilla,infeasible,500,e2-vanilla-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
291.0,multidepot,balanced_mixed,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5037.998116454932,free_mixed
291.0,multidepot,all_cv,500,e2-multidepot-100c-01,screen,terminal,OK,180.0,1,5022.801116954321,cv_shell
291.0,multidepot,infeasible,500,e2-multidepot-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
291.0,multidepot,ev_heavy_mixed,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9817.002350620356,free_mixed
291.0,multidepot,all_cv,500,e2-multidepot-200c-01,screen,terminal,OK,300.0,1,9652.757155208541,cv_shell
291.0,multidepot,infeasible,500,e2-multidepot-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
291.0,threeshift,balanced_mixed,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2242.517453956919,free_mixed
291.0,threeshift,all_cv,500,e2-threeshift-50c-01,screen,terminal,OK,90.0,1,2539.3832256016008,cv_shell
291.0,threeshift,infeasible,500,e2-threeshift-50c-01,screen,terminal,INIT_INFEASIBLE,90.0,1,inf,ev_shell
291.0,threeshift,ev_heavy_mixed,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,4922.497317744614,free_mixed
291.0,threeshift,all_cv,500,e2-threeshift-100c-01,screen,terminal,OK,180.0,1,5387.880559557449,cv_shell
291.0,threeshift,infeasible,500,e2-threeshift-100c-01,screen,terminal,INIT_INFEASIBLE,180.0,1,inf,ev_shell
291.0,threeshift,ev_heavy_mixed,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9244.826659298798,free_mixed
291.0,threeshift,all_cv,500,e2-threeshift-200c-01,screen,terminal,OK,300.0,1,9436.717673224872,cv_shell
291.0,threeshift,infeasible,500,e2-threeshift-200c-01,screen,terminal,INIT_INFEASIBLE,300.0,1,inf,ev_shell
