instance_id,depot_count,search_space_hard_lock,complete_candidate_guard,route_pool_first_filter_locked_records,route_pool_open_free_records,route_pool_mip_second_filter,final_certificate_guard,lock_cross_site_service_count,free_constructed_cross_site_service_count,search_evaluations,status
cn-cy-100c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-100c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-100c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-150c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-150c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-150c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-200c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-200c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-200c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-50c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-50c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-50c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-75c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-75c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-cy-75c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-100c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-100c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-100c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-150c-01-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-150c-02-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-150c-03-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-200c-01-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-200c-02-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-200c-03-V2-LOCATIONS,3,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-50c-01-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-50c-02-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
cn-jjj-50c-03-V2-LOCATIONS,2,PASS,PASS,0,1,PASS_NO_COLUMNS,PASS,0,1,0,PASS
