instance_id,seed,owner_family,mapping_sha256,business_scenario,method,coalition,coalition_member_count,customer_count,demand_kg,cv_cap,ev_cap,total_fleet_cap,max_payload_kg,capacity_route_lower_bound,capacity_lower_bound_feasible,route_search_executed,search_evaluations,actual_cv_used,actual_ev_used,cost_cny,profit_cny,cross_contractor_services,physical_transfer_cost_cny,status
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_dongguan,1,35,9164.0,4,1,5,1735.0,6,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_foshan,1,33,9446.0,4,1,5,1735.0,6,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_guangzhou,1,44,10627.0,9,3,12,1735.0,7,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_shenzhen,1,38,10974.0,10,3,13,1735.0,7,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan,1,35,9164.0,4,1,5,1735.0,6,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_foshan,1,33,9446.0,4,1,5,1735.0,6,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_guangzhou,1,44,10627.0,9,3,12,1735.0,7,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_shenzhen,1,38,10974.0,10,3,13,1735.0,7,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Balanced,91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,A_POSTHOC_SETTLEMENT,D_dongguan,1,60,16110.0,4,1,5,1735.0,10,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,A_POSTHOC_SETTLEMENT,D_foshan,1,59,15350.0,4,1,5,1735.0,9,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,A_POSTHOC_SETTLEMENT,D_guangzhou,1,17,4930.0,9,3,12,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,A_POSTHOC_SETTLEMENT,D_shenzhen,1,14,3821.0,10,3,13,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,A_POSTHOC_SETTLEMENT,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan,1,60,16110.0,4,1,5,1735.0,10,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,B_IN_SEARCH_PROFIT_FLOOR,D_foshan,1,59,15350.0,4,1,5,1735.0,9,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,B_IN_SEARCH_PROFIT_FLOOR,D_guangzhou,1,17,4930.0,9,3,12,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,B_IN_SEARCH_PROFIT_FLOOR,D_shenzhen,1,14,3821.0,10,3,13,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,A_DIRECT_SERVICE_RIGHT,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_dongguan,1,60,16110.0,4,1,5,1735.0,10,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_foshan,1,59,15350.0,4,1,5,1735.0,9,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_guangzhou,1,17,4930.0,9,3,12,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_shenzhen,1,14,3821.0,10,3,13,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,A_POSTHOC_SETTLEMENT,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan,1,60,16110.0,4,1,5,1735.0,10,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_foshan,1,59,15350.0,4,1,5,1735.0,9,False,False,0,,,,,,,HALT_SINGLETON_CAPACITY_LOWER_BOUND_EXCEEDS_FLEET_SLOTS
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_guangzhou,1,17,4930.0,9,3,12,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_shenzhen,1,14,3821.0,10,3,13,1735.0,3,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
cn-prd-150c-01-V2-LOCATIONS,1,Uniform_Unbalanced,136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,B_PHYSICAL_TRANSFER,B_IN_SEARCH_PROFIT_FLOOR,D_dongguan+D_foshan+D_guangzhou+D_shenzhen,4,150,40211.0,27,8,35,1735.0,24,True,False,0,,,,,,,NOT_RUN_SINGLETON_SET_INCOMPLETE
