accepted,attempts,best_improved,changed,destroy_id,feasible_changed,first_eval,repair_id,seed,share,total_best_gain
17,184,14,19,worst_customer_removal,19,6,regret2_insert_repair,1,0.4754521963824289,1838.7628571712112
46,152,22,152,vehicle_type_swap,152,244,greedy_insert_repair,1,0.39276485788113696,541.2178137211467
13,37,0,13,route_segment_removal,13,203,regret2_insert_repair,1,0.09560723514211886,0.0
1,2,0,1,route_segment_removal,1,242,regret3_insert_repair,1,0.00516795865633075,0.0
0,1,0,0,random_customer_removal,0,2,greedy_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,random_customer_removal,0,3,regret2_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,random_customer_removal,0,4,regret3_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,worst_customer_removal,0,5,greedy_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,worst_customer_removal,0,195,regret3_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,shaw_related_removal,0,196,greedy_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,shaw_related_removal,0,197,regret2_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,shaw_related_removal,0,198,regret3_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,whole_route_removal,0,199,greedy_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,whole_route_removal,0,200,regret2_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,whole_route_removal,0,201,regret3_insert_repair,1,0.002583979328165375,0.0
0,1,0,0,route_segment_removal,0,202,greedy_insert_repair,1,0.002583979328165375,0.0
153,393,62,346,random_customer_removal,346,4,regret3_insert_repair,2,0.9949367088607595,1989.1293229925113
0,1,0,0,random_customer_removal,0,2,greedy_insert_repair,2,0.002531645569620253,0.0
0,1,0,0,random_customer_removal,0,3,regret2_insert_repair,2,0.002531645569620253,0.0
82,301,18,301,vehicle_type_swap,301,89,greedy_insert_repair,3,0.7777777777777778,712.900959869924
3,42,3,3,shaw_related_removal,3,13,regret3_insert_repair,3,0.10852713178294573,63.03494807210336
2,28,2,3,whole_route_removal,3,56,regret2_insert_repair,3,0.07235142118863049,219.89288771398697
2,4,0,2,shaw_related_removal,2,8,greedy_insert_repair,3,0.0103359173126615,0.0
0,1,0,0,random_customer_removal,0,2,greedy_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,random_customer_removal,0,3,regret2_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,random_customer_removal,0,4,regret3_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,worst_customer_removal,0,5,greedy_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,worst_customer_removal,0,6,regret2_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,worst_customer_removal,0,7,regret3_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,shaw_related_removal,0,12,regret2_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,whole_route_removal,0,55,greedy_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,whole_route_removal,0,84,regret3_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,route_segment_removal,0,86,greedy_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,route_segment_removal,0,87,regret2_insert_repair,3,0.002583979328165375,0.0
0,1,0,0,route_segment_removal,0,88,regret3_insert_repair,3,0.002583979328165375,0.0
