arm,checkpoint_status,condition,error,evaluations,execution_status,network,stages,stream,task_id
no_cooperation,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,4,N114__historical_mixed__stream4__no_cooperation
no_participation,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,4,N114__historical_mixed__stream4__no_participation
simple_insertion,PRESENT_VALID,historical_mixed,,50,PASS,N114,3,4,N114__historical_mixed__stream4__simple_insertion
full,PRESENT_VALID,historical_mixed,,50,PASS,N114,1,5,N114__historical_mixed__stream5__full
no_cooperation,PRESENT_VALID,historical_mixed,,50,PASS,N114,1,5,N114__historical_mixed__stream5__no_cooperation
no_participation,PRESENT_VALID,historical_mixed,,50,PASS,N114,1,5,N114__historical_mixed__stream5__no_participation
simple_insertion,PRESENT_VALID,historical_mixed,,50,PASS,N114,1,5,N114__historical_mixed__stream5__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N221,3,1,N221__geographic__stream1__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N221,3,1,N221__geographic__stream1__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N221,3,1,N221__geographic__stream1__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N221,3,1,N221__geographic__stream1__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N221,3,2,N221__geographic__stream2__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N221,3,2,N221__geographic__stream2__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N221,3,2,N221__geographic__stream2__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N221,3,2,N221__geographic__stream2__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N221,3,3,N221__geographic__stream3__full
no_cooperation,PRESENT_VALID,geographic,,50,PASS,N221,3,3,N221__geographic__stream3__no_cooperation
no_participation,PRESENT_VALID,geographic,,50,PASS,N221,3,3,N221__geographic__stream3__no_participation
simple_insertion,PRESENT_VALID,geographic,,50,PASS,N221,3,3,N221__geographic__stream3__simple_insertion
full,PRESENT_VALID,geographic,,50,PASS,N221,3,4,N221__geographic__stream4__full
