budget,profile,family,size,rows,mean_route_count_delta_vs_lns,mean_cost_fix_delta_vs_lns,route_positive_rows,cost_fix_positive_rows
16000,A0_MAIN_LOCAL_SEARCH,multidepot,100c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,10c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,150c,3,1.3333333333333333,106.66666666666667,3,3
16000,A0_MAIN_LOCAL_SEARCH,multidepot,15c,3,1.0,80.0,3,3
16000,A0_MAIN_LOCAL_SEARCH,multidepot,20c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,50c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,75c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,threeshift,100c,3,0.6666666666666666,53.333333333333336,2,2
16000,A0_MAIN_LOCAL_SEARCH,threeshift,150c,3,0.3333333333333333,26.666666666666668,2,2
16000,A0_MAIN_LOCAL_SEARCH,threeshift,50c,3,0.3333333333333333,26.666666666666668,1,1
16000,A0_MAIN_LOCAL_SEARCH,threeshift,75c,3,0.3333333333333333,26.666666666666668,1,1
16000,A0_MAIN_LOCAL_SEARCH,vanilla,100c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,vanilla,150c,3,0.6666666666666666,53.333333333333336,2,2
16000,A0_MAIN_LOCAL_SEARCH,vanilla,15c,3,0.3333333333333333,26.666666666666668,1,1
16000,A0_MAIN_LOCAL_SEARCH,vanilla,25c,3,0.0,0.0,0,0
16000,A0_MAIN_LOCAL_SEARCH,vanilla,50c,3,0.0,0.0,0,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,0.0,0.0,0,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,0.0,0.0,0,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.6666666666666666,53.333333333333336,2,2
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,0.3333333333333333,26.666666666666668,1,1
