battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant,structure_instance,family,structure_size,replicate,customers,depots,stations,station_at_depot_count,station_per_customer,depot_per_customer,bbox_diag_km,nearest_depot_p50_km,nearest_depot_p75_km,nearest_depot_p90_km,nearest_depot_max_km,nearest_station_p50_km,nearest_station_p75_km,nearest_station_p90_km,nearest_station_max_km,nearest_customer_p50_km,nearest_customer_p90_km,pairwise_p50_km,pairwise_p90_km,pairwise_max_km,depot_min_separation_km,station_min_separation_km,roundtrip_depot_empty_kwh_p75,roundtrip_depot_empty_kwh_p90,roundtrip_depot_empty_kwh_max,oneway_depot_empty_kwh_p90,customer_demand_mean,customer_demand_p90,time_window_width_mean_h,time_window_width_p25_h,service_time_mean_min,manifest_num_cv,manifest_num_ev,station_strategy,depot_strategy,route_share_in_practical_band,route_share_regime,winner_ev_routes_over_manifest_ev,winner_cv_routes_over_manifest_cv
60.0,vanilla,all_cv,11164.214856565932,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,11183.897526644694,0.305,0.32842350131752307,0.190273053012171,0.34782608695652173,e2-vanilla-200c-01,stage_a,1,200,all_cv,67,0.0,0.0,0.0,0,0.0,67,OK,11164.214856565932,200.0,97152.0,9012332.491091257,cv_shell,e2-vanilla-200c-01,vanilla,200,1,200,1,21,1,0.105,0.005,272.0312915023727,61.01570332624734,78.56852411061782,89.46161653803227,103.13978439508831,10.972012667593331,16.31910816286853,26.3031745733443,49.64274291762392,4.914709041795423,12.46617978797317,70.21150838403948,122.96230471960166,199.8552551484511,0.0,6.076986342736012,95.10840791755354,108.29466398889726,124.8522967411949,54.14733199444863,485.76,765.3,5.5473236111111115,5.385347222222222,16.192,14,14,hybrid_support,scored_candidates,False,all_cv,False,True
60.0,vanilla,all_cv,4668.631771653173,0.0,0.0,0.0,0.0,,,,,,,cv_heavy_mixed,4839.466936254731,0.06666666666666667,0.08412237972743693,0.05060841870312995,0.11538461538461539,e2-vanilla-75c-01,stage_a,1,75,all_cv,25,0.0,0.0,0.0,0,0.0,25,OK,4668.631771653173,75.0,36542.0,4142091.793144206,cv_shell,e2-vanilla-75c-01,vanilla,75,1,75,1,8,1,0.10666666666666667,0.013333333333333334,252.96483601813372,68.23264309814256,87.75882903043981,96.61614814115248,109.93897028870016,24.39862699004597,38.87200573183574,51.65108370180643,79.14776869830064,8.677359321187524,16.912119764914223,85.00463112986256,143.1304790165299,208.54350696904706,0.0,11.642429560126182,106.23341349829354,116.95533463113254,133.0828159318885,58.47766731556627,487.2266666666667,740.0000000000001,5.537625925925926,5.397916666666666,16.24088888888889,6,5,hybrid_support,scored_candidates,False,all_cv,False,True
81.0,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4839.008215141178,0.72,0.7266182453300389,0.5425003068887134,0.7272727272727273,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,9,0.72,0.7266182453300389,0.5425003068887134,24,0.7272727272727273,33,OK,4839.008215141178,100.0,46949.0,3916036.7662452683,free_mixed,e2-multidepot-100c-01,multidepot,100,1,100,2,11,1,0.11,0.02,265.2690537368918,41.08380150998228,65.31088210103168,85.52469625644268,101.11805599544377,17.683636204331705,30.83521463678035,38.37325466111732,67.35011648235955,7.470743139936593,15.78932518648793,80.2634955653873,143.56160389931176,200.5363384526757,69.72141723857165,14.366642462043808,79.05982817718126,103.52896138319294,122.40496339099506,51.76448069159647,469.49,768.4000000000001,5.568877777777778,5.4307638888888885,15.649666666666667,7,7,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7164.288058736665,0.6866666666666666,0.7333644740753323,0.5835558645778726,0.75,e2-multidepot-150c-01,stage_a,1,150,balanced_mixed,13,0.6866666666666666,0.7333644740753323,0.5835558645778726,39,0.75,52,OK,7164.288058736665,150.0,70647.0,5444028.631600871,free_mixed,e2-multidepot-150c-01,multidepot,150,1,150,2,16,1,0.10666666666666667,0.013333333333333334,239.23258743020295,46.72405179461255,62.051265085883735,78.85397994535512,91.4366227716198,12.370325736578009,24.110202783408656,38.95660174028026,78.66910777368457,5.372099074325959,11.41721461998503,65.3116129254974,117.81949156879008,185.259190338733,11.848703715178923,6.052747088074968,75.114011601892,95.45395659980215,110.68543943784535,47.72697829990108,470.98,764.2,5.547711111111111,5.376736111111111,15.699333333333334,10,10,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,10639.292422179396,0.49,0.5416357872200264,0.39451447857334926,0.5606060606060606,e2-multidepot-200c-01,stage_a,1,200,all_cv,66,0.0,0.0,0.0,0,0.0,66,OK,9549.623080396133,200.0,97152.0,6631550.654229282,cv_shell,e2-multidepot-200c-01,multidepot,200,1,200,2,21,1,0.105,0.01,272.0312915023727,35.80715035890783,52.43689180656587,75.72058221609886,103.13978439508831,10.972012667593331,16.31910816286853,26.3031745733443,49.64274291762392,4.914709041795423,12.46617978797317,70.21150838403948,122.96230471960166,199.8552551484511,47.06001195804105,6.076986342736012,63.475664743885844,91.66093041310091,124.8522967411949,45.83046520655046,485.76,765.3,5.5473236111111115,5.385347222222222,16.192,14,14,hybrid_support,scored_candidates,False,all_cv,False,True
81.0,multidepot,all_cv,4257.4366557039775,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,3983.473778030194,0.7066666666666667,0.7275737507525587,0.6035261425878692,0.7407407407407407,e2-multidepot-75c-01,stage_a,1,75,balanced_mixed,7,0.7066666666666667,0.7275737507525587,0.6035261425878692,20,0.7407407407407407,27,OK,3983.473778030194,75.0,36542.0,3337633.605731168,free_mixed,e2-multidepot-75c-01,multidepot,75,1,75,2,8,1,0.10666666666666667,0.02666666666666667,252.96483601813372,46.02140018714636,61.84795879253914,82.09123525358142,109.93897028870016,24.39862699004597,38.87200573183574,51.65108370180643,79.14776869830064,8.677359321187524,16.912119764914223,85.00463112986256,143.1304790165299,208.54350696904706,58.486143877920036,11.642429560126182,74.86790620410702,99.37270398462725,133.0828159318885,49.686351992313625,487.2266666666667,740.0000000000001,5.537625925925926,5.397916666666666,16.24088888888889,6,5,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,threeshift,all_cv,5107.53757812103,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5026.434114733192,0.66,0.6661710372172659,0.5225201285063067,0.696969696969697,e2-threeshift-100c-01,stage_a,1,100,balanced_mixed,10,0.66,0.6661710372172659,0.5225201285063067,23,0.696969696969697,33,OK,5026.434114733192,100.0,44388.0,4197741.75556529,free_mixed,e2-threeshift-100c-01,threeshift,100,1,100,2,11,1,0.11,0.02,282.52978361417985,46.395007736700485,65.38742817986143,81.49162193243188,101.11805599544377,22.386529446672146,33.470469099128806,39.34456198600218,67.35011648235955,9.105883149668697,19.86562023124373,78.83548401715511,139.18777743328872,208.97975595344397,43.7869277992633,14.366642462043808,79.15248838395287,98.64686282894513,122.40496339099506,49.323431414472566,443.88,735.4000000000001,5.529369444444444,5.398958333333334,14.796,7,7,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,threeshift,all_cv,8525.481461998606,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7428.049146672753,0.7133333333333334,0.7522088975945211,0.571221072791294,0.7692307692307693,e2-threeshift-150c-01,stage_a,1,150,balanced_mixed,12,0.7133333333333334,0.7522088975945211,0.571221072791294,40,0.7692307692307693,52,OK,7428.049146672753,150.0,70963.0,5892362.141147324,free_mixed,e2-threeshift-150c-01,threeshift,150,1,150,2,16,1,0.10666666666666667,0.013333333333333334,266.7524945473232,43.63443096518707,67.1393774091851,92.56399402521063,115.20437778732543,15.159617970214605,27.858422182793554,46.857860973687295,93.26224780818924,6.512278449427009,14.058852075251384,71.69094077180185,129.93707516416168,198.50736407748835,22.900872628156232,6.052747088074968,81.27324989550632,112.05013969503844,139.45667276450936,56.02506984751922,473.08666666666664,751.2,5.542831481481481,5.391805555555556,15.769555555555554,10,10,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,threeshift,all_cv,9537.791917774082,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,10833.701179035295,0.385,0.4321588262946726,0.31210234885768673,0.4426229508196721,e2-threeshift-200c-01,stage_a,1,200,all_cv,64,0.0,0.0,0.0,0,0.0,64,OK,9537.791917774082,200.0,91471.0,6860645.369830304,cv_shell,e2-threeshift-200c-01,threeshift,200,1,200,2,21,1,0.105,0.01,276.64021738668765,36.001695935552775,58.942969595796,78.27376175814945,98.1926208805261,13.700602276516689,19.28346650378627,29.10187496950281,61.08437279054685,5.025004784847583,11.499648027316155,73.76182645680313,123.35775788278775,212.28757180485582,54.447807481667084,6.076986342736012,71.35137206212744,94.75159355232721,118.86367915032135,47.375796776163604,457.355,746.5999999999999,5.522451388888889,5.377777777777778,15.245166666666668,14,14,hybrid_support,scored_candidates,False,all_cv,False,True
81.0,threeshift,all_cv,3960.5538278976487,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,3986.4533071518563,0.49333333333333335,0.5279977133057024,0.360795253624853,0.56,e2-threeshift-75c-01,stage_a,1,75,all_cv,26,0.0,0.0,0.0,0,0.0,26,OK,3960.5538278976487,75.0,34985.0,2922079.9653189136,cv_shell,e2-threeshift-75c-01,threeshift,75,1,75,2,8,1,0.10666666666666667,0.02666666666666667,259.68026523333515,36.919979429967185,52.66314959560174,70.45108813987137,109.93897028870016,15.740243156253973,29.92012552764726,51.60579327397696,79.14776869830064,7.07974093795105,14.699695098046602,78.53727223383939,132.87063356311134,207.50547833331484,90.73074574169806,11.642429560126182,63.749553280519805,85.28212671538391,133.0828159318885,42.641063357691955,466.46666666666664,770.6,5.537407407407407,5.377777777777778,15.548888888888888,6,5,hybrid_support,scored_candidates,False,all_cv,False,True
81.0,vanilla,all_cv,5826.874187184658,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5599.128377508635,0.36,0.41532301007476197,0.298487988769793,0.4375,e2-vanilla-100c-01,stage_a,1,100,balanced_mixed,18,0.36,0.41532301007476197,0.298487988769793,14,0.4375,32,OK,5599.128377508635,100.0,46949.0,5036572.32640243,free_mixed,e2-vanilla-100c-01,vanilla,100,1,100,1,11,1,0.11,0.01,265.2690537368918,72.16050482566888,85.44755129272968,92.42449494606201,101.11805599544377,17.683636204331705,30.83521463678035,38.37325466111732,67.35011648235955,7.470743139936593,15.78932518648793,80.2634955653873,143.56160389931176,200.5363384526757,0.0,14.366642462043808,103.43557621705095,111.88127391228413,122.40496339099506,55.940636956142065,469.49,768.4000000000001,5.568877777777778,5.4307638888888885,15.649666666666667,7,7,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,vanilla,all_cv,7592.641707650496,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7553.769997231217,0.68,0.7303636389372514,0.570930779087938,0.7547169811320755,e2-vanilla-150c-01,stage_a,1,150,balanced_mixed,13,0.68,0.7303636389372514,0.570930779087938,40,0.7547169811320755,53,OK,7553.769997231217,150.0,70647.0,5966913.617675135,free_mixed,e2-vanilla-150c-01,vanilla,150,1,150,1,16,1,0.10666666666666667,0.006666666666666667,239.23258743020295,49.97690231697672,68.50284299703213,82.0787797982094,97.54690711053068,12.370325736578009,24.110202783408656,38.95660174028026,78.66910777368457,5.372099074325959,11.41721461998503,65.3116129254974,117.81949156879008,185.259190338733,0.0,6.052747088074968,82.92374597874607,99.35762646416049,118.08203269164225,49.678813232080245,470.98,764.2,5.547711111111111,5.376736111111111,15.699333333333334,10,10,hybrid_support,scored_candidates,True,practical_mixed,True,True
81.0,vanilla,all_cv,11164.214856565932,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,11555.711998637376,0.535,0.5672554347826086,0.44604328230506246,0.6266666666666667,e2-vanilla-200c-01,stage_a,1,200,all_cv,67,0.0,0.0,0.0,0,0.0,67,OK,11164.214856565932,200.0,97152.0,9012332.491091257,cv_shell,e2-vanilla-200c-01,vanilla,200,1,200,1,21,1,0.105,0.005,272.0312915023727,61.01570332624734,78.56852411061782,89.46161653803227,103.13978439508831,10.972012667593331,16.31910816286853,26.3031745733443,49.64274291762392,4.914709041795423,12.46617978797317,70.21150838403948,122.96230471960166,199.8552551484511,0.0,6.076986342736012,95.10840791755354,108.29466398889726,124.8522967411949,54.14733199444863,485.76,765.3,5.5473236111111115,5.385347222222222,16.192,14,14,hybrid_support,scored_candidates,False,all_cv,False,True
81.0,vanilla,all_cv,4668.631771653173,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4754.611434034005,0.25333333333333335,0.3211646872092387,0.24783578736623668,0.37037037037037035,e2-vanilla-75c-01,stage_a,1,75,all_cv,25,0.0,0.0,0.0,0,0.0,25,OK,4668.631771653173,75.0,36542.0,4142091.793144206,cv_shell,e2-vanilla-75c-01,vanilla,75,1,75,1,8,1,0.10666666666666667,0.013333333333333334,252.96483601813372,68.23264309814256,87.75882903043981,96.61614814115248,109.93897028870016,24.39862699004597,38.87200573183574,51.65108370180643,79.14776869830064,8.677359321187524,16.912119764914223,85.00463112986256,143.1304790165299,208.54350696904706,0.0,11.642429560126182,106.23341349829354,116.95533463113254,133.0828159318885,58.47766731556627,487.2266666666667,740.0000000000001,5.537625925925926,5.397916666666666,16.24088888888889,6,5,hybrid_support,scored_candidates,False,all_cv,False,True
82.6,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4934.754535177661,0.67,0.688427868538201,0.5126119139017435,0.7058823529411765,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,10,0.67,0.688427868538201,0.5126119139017435,24,0.7058823529411765,34,OK,4934.754535177661,100.0,46949.0,3912211.712622645,free_mixed,e2-multidepot-100c-01,multidepot,100,1,100,2,11,1,0.11,0.02,265.2690537368918,41.08380150998228,65.31088210103168,85.52469625644268,101.11805599544377,17.683636204331705,30.83521463678035,38.37325466111732,67.35011648235955,7.470743139936593,15.78932518648793,80.2634955653873,143.56160389931176,200.5363384526757,69.72141723857165,14.366642462043808,79.05982817718126,103.52896138319294,122.40496339099506,51.76448069159647,469.49,768.4000000000001,5.568877777777778,5.4307638888888885,15.649666666666667,7,7,hybrid_support,scored_candidates,True,practical_mixed,True,True
82.6,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7369.046604099672,0.64,0.6718190439792207,0.5553226924049138,0.6981132075471698,e2-multidepot-150c-01,stage_a,1,150,all_cv,48,0.0,0.0,0.0,0,0.0,48,OK,7270.566593981815,150.0,70647.0,5328266.541451126,cv_shell,e2-multidepot-150c-01,multidepot,150,1,150,2,16,1,0.10666666666666667,0.013333333333333334,239.23258743020295,46.72405179461255,62.051265085883735,78.85397994535512,91.4366227716198,12.370325736578009,24.110202783408656,38.95660174028026,78.66910777368457,5.372099074325959,11.41721461998503,65.3116129254974,117.81949156879008,185.259190338733,11.848703715178923,6.052747088074968,75.114011601892,95.45395659980215,110.68543943784535,47.72697829990108,470.98,764.2,5.547711111111111,5.376736111111111,15.699333333333334,10,10,hybrid_support,scored_candidates,False,all_cv,False,True
82.6,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,9987.956744690238,0.575,0.6036931818181818,0.5506828777880777,0.6438356164383562,e2-multidepot-200c-01,stage_a,1,200,all_cv,66,0.0,0.0,0.0,0,0.0,66,OK,9549.623080396133,200.0,97152.0,6631550.654229282,cv_shell,e2-multidepot-200c-01,multidepot,200,1,200,2,21,1,0.105,0.01,272.0312915023727,35.80715035890783,52.43689180656587,75.72058221609886,103.13978439508831,10.972012667593331,16.31910816286853,26.3031745733443,49.64274291762392,4.914709041795423,12.46617978797317,70.21150838403948,122.96230471960166,199.8552551484511,47.06001195804105,6.076986342736012,63.475664743885844,91.66093041310091,124.8522967411949,45.83046520655046,485.76,765.3,5.5473236111111115,5.385347222222222,16.192,14,14,hybrid_support,scored_candidates,False,all_cv,False,True
