profile,destroy_id,repair_id,pair,attempts,accepted_count,best_improved_count,unchanged_count,accepted_rate,best_improved_rate,unchanged_rate,mean_candidate_route_count_delta,best_improved_top3_member
A0_MAIN_LOCAL_SEARCH,random_customer_removal,greedy_insert_repair,random_customer_removal+greedy_insert_repair,97564,13696,1044,55225,0.14037964823090485,0.010700668279283343,0.5660387028002132,0.154780451805994,True
A0_MAIN_LOCAL_SEARCH,random_customer_removal,regret2_insert_repair,random_customer_removal+regret2_insert_repair,48643,9834,663,18823,0.20216680714594085,0.013629915918014926,0.386962152827745,0.28690664638283003,True
A0_MAIN_LOCAL_SEARCH,whole_route_removal,regret3_insert_repair,whole_route_removal+regret3_insert_repair,9509,3794,8,4879,0.3989904301188348,0.0008413082343043432,0.5130928593963613,0.005994321169418446,False
A0_MAIN_LOCAL_SEARCH,random_customer_removal,regret3_insert_repair,random_customer_removal+regret3_insert_repair,7811,1334,159,4256,0.17078479067981053,0.020355908334400204,0.5448726155421841,0.15516579183203175,True
A0_MAIN_LOCAL_SEARCH,route_segment_removal,regret2_insert_repair,route_segment_removal+regret2_insert_repair,6941,1442,120,4220,0.20775104451808096,0.0172885751332661,0.6079815588531912,0.11424866733900015,False
A0_MAIN_LOCAL_SEARCH,vehicle_type_swap,greedy_insert_repair,vehicle_type_swap+greedy_insert_repair,4151,151,111,430,0.036376776680317996,0.026740544447121175,0.10358949650686582,0.0,False
A0_MAIN_LOCAL_SEARCH,shaw_related_removal,regret3_insert_repair,shaw_related_removal+regret3_insert_repair,3239,70,7,2558,0.021611608521148504,0.00216116085211485,0.7897499228156839,0.010805804260574252,False
A0_MAIN_LOCAL_SEARCH,route_segment_removal,greedy_insert_repair,route_segment_removal+greedy_insert_repair,2804,698,6,1480,0.24893009985734665,0.0021398002853067048,0.5278174037089871,0.162981455064194,False
A0_MAIN_LOCAL_SEARCH,shaw_related_removal,regret2_insert_repair,shaw_related_removal+regret2_insert_repair,2561,46,27,2048,0.017961733697774308,0.010542756735650137,0.7996876220226474,0.04724716907458024,False
A0_MAIN_LOCAL_SEARCH,whole_route_removal,greedy_insert_repair,whole_route_removal+greedy_insert_repair,2012,111,4,971,0.055168986083499,0.0019880715705765406,0.4826043737574553,0.027833001988071572,False
A0_MAIN_LOCAL_SEARCH,worst_customer_removal,regret2_insert_repair,worst_customer_removal+regret2_insert_repair,1149,11,4,1057,0.009573542210617928,0.0034812880765883376,0.9199303742384682,0.0278503046127067,False
