unit_id,instance_id,fleet_level_percent,seed,status,available_cv,available_ev,available_total,aware_dispatched_cv,aware_dispatched_ev,aware_used_physical_vehicles,aware_route_count,aware_operating_cost_cny,aware_full_model_cost_cny,aware_system_emissions_kg,aware_charging_emissions_kg,aware_solution_sha256,blind_dispatched_cv,blind_dispatched_ev,blind_used_physical_vehicles,blind_route_count,blind_operating_cost_cny,blind_rescored_full_model_cost_cny,blind_system_emissions_kg,blind_charging_emissions_kg,blind_solution_sha256,emissions_difference_vs_blind_kg,emissions_difference_vs_blind_pct,operating_cost_difference_vs_blind_cny,operating_cost_difference_vs_blind_pct,charging_timing_change_count,charging_action_unmatched_count,vehicle_type_change_customer_count,route_change_customer_count,route_count_difference,unserved_customer_count,duplicate_service_count,violation_count,violations,aware_hgs_iterations_by_view,blind_hgs_iterations_by_view,aware_stop_reasons_by_view,blind_stop_reasons_by_view,attempted_search_arm_count,successful_search_arm_count,complete_solution_available,solution_kind,failure_evidence_sha256,pair_solution_sha256,solution_sha256,elapsed_seconds,failure_reason,aware_complete_candidate_evaluation_attempts,aware_objective_float_hex,aware_route_structure_sha256,aware_charging_structure_sha256,aware_iterations_exact_25000_all_views,blind_complete_candidate_evaluation_attempts,blind_objective_float_hex,blind_route_structure_sha256,blind_charging_structure_sha256,blind_iterations_exact_25000_all_views
level_000__seed_01,cn-cy-100c-01-V2-LOCATIONS,0,1,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,3c88ecb4da1c4a77a3c759d8ecc8c43d74e822228cc8b61d675ed3d02a49dc6c,3c88ecb4da1c4a77a3c759d8ecc8c43d74e822228cc8b61d675ed3d02a49dc6c,703.3249511249596,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_02,cn-cy-100c-01-V2-LOCATIONS,0,2,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,94b726474ee0d693adb2901450517d67fc5a553329cd2c36d155c744af4272f6,94b726474ee0d693adb2901450517d67fc5a553329cd2c36d155c744af4272f6,710.3504077079706,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_03,cn-cy-100c-01-V2-LOCATIONS,0,3,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,beb41730fd1e88cadaf93b317de787b2d123994c86b86a888bbe61be29a6cf0a,beb41730fd1e88cadaf93b317de787b2d123994c86b86a888bbe61be29a6cf0a,711.046196041978,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_04,cn-cy-100c-01-V2-LOCATIONS,0,4,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,e25fbbfbbae65043eefb13be6448d74a2f96fb9d7991d90744f6ae08a572156b,e25fbbfbbae65043eefb13be6448d74a2f96fb9d7991d90744f6ae08a572156b,1011.6133888749173,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_05,cn-cy-100c-01-V2-LOCATIONS,0,5,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,360b6275875d42fb88692bf04c150ffef65b6649859f149f75bf2f7e01f7f834,360b6275875d42fb88692bf04c150ffef65b6649859f149f75bf2f7e01f7f834,1034.2167674170341,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_06,cn-cy-100c-01-V2-LOCATIONS,0,6,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,a55d25399cf4e6f06a52a30b864786b2e8e231e221e0de72933ccc5ed57d593d,a55d25399cf4e6f06a52a30b864786b2e8e231e221e0de72933ccc5ed57d593d,1016.3890157910064,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_07,cn-cy-100c-01-V2-LOCATIONS,0,7,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,4a7aa99e82e3103198d3478a2300cf6ebee5d311e0f48f3c04da13410aa61d89,4a7aa99e82e3103198d3478a2300cf6ebee5d311e0f48f3c04da13410aa61d89,995.2516242919955,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_08,cn-cy-100c-01-V2-LOCATIONS,0,8,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,d3831b9b78cb0ac542ec760cdd46a00cf7b3a7d1f7e0834a61425c67b5c2aec8,d3831b9b78cb0ac542ec760cdd46a00cf7b3a7d1f7e0834a61425c67b5c2aec8,985.1866725829896,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_09,cn-cy-100c-01-V2-LOCATIONS,0,9,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,cdf70be7e8942e24f70647cef3f96520bc0f64b43050e2023333e15b7bb3adda,cdf70be7e8942e24f70647cef3f96520bc0f64b43050e2023333e15b7bb3adda,995.3030281669926,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_000__seed_10,cn-cy-100c-01-V2-LOCATIONS,0,10,PASS,16,0,16,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,12,0,12,18,5127.963087283631,5174.431221352166,619.409944928491,0.0,f53158a88de59f5073a6e68e8b58026ec505d5cec0699879a35379ee19a6f8a2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,8769f9cb761347de5fe57f3f5bfdd1a676f47eb9de7f9e7c2e5b88eeac4de4ea,8769f9cb761347de5fe57f3f5bfdd1a676f47eb9de7f9e7c2e5b88eeac4de4ea,912.4767177910544,,80,0x1.4366e6485c4e4p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true,80,0x1.407f68ce36263p+12,8f341b06c8a88dbfa033e6c9ed53826697268b3012e2dfc8ca89274ab802f105,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,true
level_025__seed_01,cn-cy-100c-01-V2-LOCATIONS,25,1,PASS,12,4,16,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,2003357161fa5c169874007d2b8c591f2cb09379e3999fa1c3ee27b5d5d6e30c,2003357161fa5c169874007d2b8c591f2cb09379e3999fa1c3ee27b5d5d6e30c,912.5542235840112,,80,0x1.1d2064a7ab27dp+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true,80,0x1.1b2d361ee4933p+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true
level_025__seed_02,cn-cy-100c-01-V2-LOCATIONS,25,2,PASS,12,4,16,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,ff19d2e3ab78de8d83f06b8b5effd0539b50f2ac9043e063048d0382db966929,ff19d2e3ab78de8d83f06b8b5effd0539b50f2ac9043e063048d0382db966929,909.932456749957,,80,0x1.1d2064a7ab27dp+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true,80,0x1.1b2d361ee4933p+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true
level_025__seed_03,cn-cy-100c-01-V2-LOCATIONS,25,3,PASS,12,4,16,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,8,4,12,18,4530.8257130554875,4562.024573963715,415.8739123997247,38.926249304902555,668330e76e476b451687a6b661e4b7bbe2cf5c98e28ead429f09c6434b289372,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,[],"{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":25000,""mechanism_ev"":25000,""naive_ev"":25000}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}","{""cv_only"":""MAX_ITERATIONS"",""mechanism_ev"":""MAX_ITERATIONS"",""naive_ev"":""MAX_ITERATIONS""}",2,2,true,FULL_PAIRED_COMPLETE_SOLUTIONS,,43a7bacef8abd3c5c16c79eff1a7f69fee8199f7eb27a003d244fd6c497ddb10,43a7bacef8abd3c5c16c79eff1a7f69fee8199f7eb27a003d244fd6c497ddb10,691.0903150420636,,80,0x1.1d2064a7ab27dp+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true,80,0x1.1b2d361ee4933p+12,16259adedecdf47b932ddb581e3437b14d8d8941426623e56ce1c88026755bb5,4486a90585abede9353f08a410ffa5b2187e623205ee280ff158ed695d44e4bc,true
