instance,seed,left_algorithm,right_algorithm,left_cost,right_cost,gap_pct_left_minus_right,left_ev_route_share,right_ev_route_share,left_charging_action_count,right_charging_action_count,comparison
e2-threeshift-100c-02,1,alns_e2_carbon,LNS,2782.6601845066943,3191.356243708531,-12.806344011501189,0.6923076923076923,0.6153846153846154,9,8,alns_e2_carbon_vs_LNS
e2-threeshift-100c-02,2,alns_e2_carbon,LNS,2552.5759938101637,3142.024977547804,-18.76016225045023,0.7857142857142857,0.6153846153846154,11,8,alns_e2_carbon_vs_LNS
e2-threeshift-150c-01,1,alns_e2_carbon,LNS,4040.5552440763445,5174.345121253789,-21.911755992470745,0.6666666666666666,0.6818181818181818,14,15,alns_e2_carbon_vs_LNS
e2-threeshift-150c-01,2,alns_e2_carbon,LNS,3960.3606663519395,5174.345121253789,-23.461605796555194,0.8636363636363636,0.6818181818181818,19,15,alns_e2_carbon_vs_LNS
e2-threeshift-200c-01,1,alns_e2_carbon,LNS,5131.851089168626,6011.260481637215,-14.629367586963646,0.6551724137931034,0.6296296296296297,19,17,alns_e2_carbon_vs_LNS
e2-threeshift-200c-01,2,alns_e2_carbon,LNS,4669.546172328726,6011.260481637215,-22.320016133173155,0.75,0.6296296296296297,21,17,alns_e2_carbon_vs_LNS
e2-threeshift-100c-02,1,alns_e2_carbon,GA,2782.6601845066943,3345.110693759611,-16.814107536177573,0.6923076923076923,0.5714285714285714,9,8,alns_e2_carbon_vs_GA
e2-threeshift-100c-02,2,alns_e2_carbon,GA,2552.5759938101637,3345.110693759611,-23.69233106180734,0.7857142857142857,0.5714285714285714,11,8,alns_e2_carbon_vs_GA
e2-threeshift-150c-01,1,alns_e2_carbon,GA,4040.5552440763445,5174.345121253789,-21.911755992470745,0.6666666666666666,0.6818181818181818,14,15,alns_e2_carbon_vs_GA
e2-threeshift-150c-01,2,alns_e2_carbon,GA,3960.3606663519395,5174.345121253789,-23.461605796555194,0.8636363636363636,0.6818181818181818,19,15,alns_e2_carbon_vs_GA
e2-threeshift-200c-01,1,alns_e2_carbon,GA,5131.851089168626,6011.260481637215,-14.629367586963646,0.6551724137931034,0.6296296296296297,19,17,alns_e2_carbon_vs_GA
e2-threeshift-200c-01,2,alns_e2_carbon,GA,4669.546172328726,6011.260481637215,-22.320016133173155,0.75,0.6296296296296297,21,17,alns_e2_carbon_vs_GA
e2-threeshift-100c-02,1,alns_e2_carbon,PSO,2782.6601845066943,3345.110693759611,-16.814107536177573,0.6923076923076923,0.5714285714285714,9,8,alns_e2_carbon_vs_PSO
e2-threeshift-100c-02,2,alns_e2_carbon,PSO,2552.5759938101637,3345.110693759611,-23.69233106180734,0.7857142857142857,0.5714285714285714,11,8,alns_e2_carbon_vs_PSO
e2-threeshift-150c-01,1,alns_e2_carbon,PSO,4040.5552440763445,5174.345121253789,-21.911755992470745,0.6666666666666666,0.6818181818181818,14,15,alns_e2_carbon_vs_PSO
e2-threeshift-150c-01,2,alns_e2_carbon,PSO,3960.3606663519395,5174.345121253789,-23.461605796555194,0.8636363636363636,0.6818181818181818,19,15,alns_e2_carbon_vs_PSO
e2-threeshift-200c-01,1,alns_e2_carbon,PSO,5131.851089168626,6011.260481637215,-14.629367586963646,0.6551724137931034,0.6296296296296297,19,17,alns_e2_carbon_vs_PSO
e2-threeshift-200c-01,2,alns_e2_carbon,PSO,4669.546172328726,6011.260481637215,-22.320016133173155,0.75,0.6296296296296297,21,17,alns_e2_carbon_vs_PSO
e2-threeshift-100c-02,1,alns_e2_carbon,VNS,2782.6601845066943,3345.110693759611,-16.814107536177573,0.6923076923076923,0.5714285714285714,9,8,alns_e2_carbon_vs_VNS
e2-threeshift-100c-02,2,alns_e2_carbon,VNS,2552.5759938101637,3345.110693759611,-23.69233106180734,0.7857142857142857,0.5714285714285714,11,8,alns_e2_carbon_vs_VNS
e2-threeshift-150c-01,1,alns_e2_carbon,VNS,4040.5552440763445,5174.345121253789,-21.911755992470745,0.6666666666666666,0.6818181818181818,14,15,alns_e2_carbon_vs_VNS
e2-threeshift-150c-01,2,alns_e2_carbon,VNS,3960.3606663519395,5174.345121253789,-23.461605796555194,0.8636363636363636,0.6818181818181818,19,15,alns_e2_carbon_vs_VNS
e2-threeshift-200c-01,1,alns_e2_carbon,VNS,5131.851089168626,6011.260481637215,-14.629367586963646,0.6551724137931034,0.6296296296296297,19,17,alns_e2_carbon_vs_VNS
e2-threeshift-200c-01,2,alns_e2_carbon,VNS,4669.546172328726,6011.260481637215,-22.320016133173155,0.75,0.6296296296296297,21,17,alns_e2_carbon_vs_VNS
