category,instance,baseline,paired_count,wilcoxon_statistic,p_value_alns_less,note
vanilla,e2-vanilla-100c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-100c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-100c-01,GWO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-100c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-10c-01,GA,3,0.0,0.25,per-instance neutral material only
vanilla,e2-vanilla-10c-01,LNS,3,0.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-10c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-10c-01,VNS,3,0.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-10c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-10c-01,GA-VNS,3,0.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-10c-01,GWO,3,0.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-10c-01,IWD,3,0.0,0.5,per-instance neutral material only
vanilla,e2-vanilla-150c-01,GA,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,LNS,3,3.0,0.625,per-instance neutral material only
vanilla,e2-vanilla-150c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,GWO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-150c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-15c-01,GA,3,1.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-15c-01,LNS,3,2.0,0.75,per-instance neutral material only
vanilla,e2-vanilla-15c-01,PSO,3,2.0,0.375,per-instance neutral material only
vanilla,e2-vanilla-15c-01,VNS,3,1.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-15c-01,ACO,3,1.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-15c-01,GA-VNS,3,1.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-15c-01,GWO,3,1.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-15c-01,IWD,3,3.0,0.625,per-instance neutral material only
vanilla,e2-vanilla-200c-01,GA,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,LNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,GWO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-200c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,GA,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,LNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-20c-01,GWO,3,0.0,0.25,per-instance neutral material only
vanilla,e2-vanilla-20c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-25c-01,GA,3,3.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-25c-01,LNS,3,3.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-25c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-25c-01,VNS,3,3.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-25c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-25c-01,GA-VNS,3,3.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-25c-01,GWO,3,3.0,1.0,per-instance neutral material only
vanilla,e2-vanilla-25c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,GA,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,LNS,3,3.0,0.625,per-instance neutral material only
vanilla,e2-vanilla-50c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-50c-01,GWO,3,1.0,0.25,per-instance neutral material only
vanilla,e2-vanilla-50c-01,IWD,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,GA,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,LNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,PSO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,ACO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,GWO,3,0.0,0.125,per-instance neutral material only
vanilla,e2-vanilla-75c-01,IWD,3,0.0,0.125,per-instance neutral material only
