all_cv_winner_share,best_gap_pct_alns_minus_lns,category,mean_gap_pct_alns_minus_lns,mean_winner_ev_route_share,paired_winner_counts,pairs,scenario,size
0.0,-18.53291399789436,multidepot,-18.53291399789436,0.5,"{""alns"": 1}",1,budget8k100,10
1.0,0.0,multidepot,0.0,0.0,"{""tie"": 1}",1,budget8k100,15
0.0,62.7921444687605,multidepot,62.7921444687605,0.3333333333333333,"{""lns"": 1}",1,budget8k100,20
0.0,0.0,multidepot,0.0,0.2,"{""tie"": 1}",1,budget8k100,25
0.0,0.0,multidepot,0.0,0.1111111111111111,"{""tie"": 1}",1,budget8k100,50
0.0,0.0,multidepot,0.0,0.07692307692307693,"{""tie"": 1}",1,budget8k100,75
0.0,0.0,multidepot,0.0,0.06666666666666667,"{""tie"": 1}",1,budget8k100,100
0.0,0.0,multidepot,0.0,0.045454545454545456,"{""tie"": 1}",1,budget8k100,150
0.0,0.0,multidepot,0.0,0.034482758620689655,"{""tie"": 1}",1,budget8k100,200
0.0,0.0,threeshift,0.0,0.125,"{""tie"": 1}",1,budget8k100,50
0.0,0.0,threeshift,0.0,0.08333333333333333,"{""tie"": 1}",1,budget8k100,75
0.0,0.0,threeshift,0.0,0.06666666666666667,"{""tie"": 1}",1,budget8k100,100
0.0,0.0,threeshift,0.0,0.045454545454545456,"{""tie"": 1}",1,budget8k100,150
0.0,0.0,threeshift,0.0,0.037037037037037035,"{""tie"": 1}",1,budget8k100,200
0.0,-30.62886957927252,vanilla,-30.62886957927252,0.5,"{""alns"": 1}",1,budget8k100,10
1.0,0.0,vanilla,0.0,0.0,"{""tie"": 1}",1,budget8k100,15
0.0,0.0,vanilla,0.0,0.25,"{""tie"": 1}",1,budget8k100,20
0.0,0.0,vanilla,0.0,0.25,"{""tie"": 1}",1,budget8k100,25
0.0,0.0,vanilla,0.0,0.125,"{""tie"": 1}",1,budget8k100,50
0.0,0.0,vanilla,0.0,0.08333333333333333,"{""tie"": 1}",1,budget8k100,75
0.0,0.0,vanilla,0.0,0.06666666666666667,"{""tie"": 1}",1,budget8k100,100
0.0,0.0,vanilla,0.0,0.047619047619047616,"{""tie"": 1}",1,budget8k100,150
0.0,0.0,vanilla,0.0,0.034482758620689655,"{""tie"": 1}",1,budget8k100,200
0.0,-18.53291399789436,multidepot,-18.53291399789436,0.5,"{""alns"": 1}",1,budget8k80,10
1.0,0.0,multidepot,0.0,0.0,"{""tie"": 1}",1,budget8k80,15
0.0,0.0,multidepot,0.0,0.2,"{""tie"": 1}",1,budget8k80,20
0.0,0.0,multidepot,0.0,0.2,"{""tie"": 1}",1,budget8k80,25
0.0,0.0,multidepot,0.0,0.1111111111111111,"{""tie"": 1}",1,budget8k80,50
0.0,0.0,multidepot,0.0,0.07692307692307693,"{""tie"": 1}",1,budget8k80,75
0.0,0.0,multidepot,0.0,0.06666666666666667,"{""tie"": 1}",1,budget8k80,100
0.0,0.0,multidepot,0.0,0.045454545454545456,"{""tie"": 1}",1,budget8k80,150
0.0,0.0,multidepot,0.0,0.034482758620689655,"{""tie"": 1}",1,budget8k80,200
0.0,0.0,threeshift,0.0,0.125,"{""tie"": 1}",1,budget8k80,50
0.0,0.0,threeshift,0.0,0.08333333333333333,"{""tie"": 1}",1,budget8k80,75
